OID,PLT_CN,LAT,LON,TIME_INT,ai_et0_NAD,SOC5_15NAD,SOC0_5_NAD,N5_15_NAD,N0_5_NAD,wc2_1_30s_
-1,20333471010500.000000000000000,30.217986000000000,-84.427137000000002,7,9656,157,526,477,1383,19.5708008
-1,20304460010500.000000000000000,28.625734999999999,-81.689058000000003,7,7141,-9999,-9999,-9999,-9999,21.7791996
-1,20271309010500.000000000000000,27.517254999999999,-82.385035000000002,6,7211,450,604,1368,1734,22.6166992
-1,289515834490000.000000000000000,27.670665000000000,-81.354235000000003,12,6927,639,548,1061,1330,22.3999996
-1,289515455490000.000000000000000,26.952103000000001,-81.752718000000002,11,7113,724,531,1098,1589,22.7999992
-1,374860903490000.000000000000000,30.577428999999999,-85.099417000000003,13,9203,100,332,106,571,19.2749996
-1,374861993490000.000000000000000,27.835605000000001,-80.526394999999994,13,7016,494,475,1229,1381,22.5167007
-1,218219098020000.000000000000000,30.371410000000001,-82.652928000000003,6,8389,130,490,199,1534,19.8458004
-1,218217950020000.000000000000000,30.516932000000001,-85.165758999999994,6,9206,100,321,316,1360,19.3582993
-1,218218431020000.000000000000000,28.339762000000000,-81.105866000000006,5,7232,1044,937,1363,1621,21.9750004
-1,289515800490000.000000000000000,29.390046000000002,-81.796209000000005,5,7859,165,329,569,1783,20.7332993
-1,289515153490000.000000000000000,29.937359000000001,-84.635255999999998,6,9385,162,708,610,1542,20.0000000
-1,289514949490000.000000000000000,30.399563000000001,-84.482697999999999,5,9702,141,555,335,1407,19.3792000
-1,289514998490000.000000000000000,30.147476999999999,-84.991461999999999,5,9744,146,463,578,1318,19.7000008
-1,289515165490000.000000000000000,30.513086999999999,-86.862260000000006,5,9975,171,399,167,528,19.5000000
-1,289515918490000.000000000000000,27.975033000000000,-81.073110000000000,6,7003,654,716,646,893,22.2374992
-1,374861301490000.000000000000000,30.221066000000000,-82.477845000000002,5,8428,143,551,251,1477,19.8666992
-1,374860899490000.000000000000000,30.808299000000002,-85.003135000000000,6,8741,120,554,184,583,19.3917007
-1,374862320490000.000000000000000,30.267277000000000,-84.979594000000006,7,9554,156,383,326,1452,19.5457993
-1,374860942490000.000000000000000,30.486311000000001,-86.736063000000001,5,9929,122,405,162,414,19.5832996
-1,374861009490000.000000000000000,30.940439000000001,-86.994746000000006,5,10524,133,381,108,429,18.6417007
-1,374861805490000.000000000000000,27.384246999999998,-82.103218999999996,7,7393,182,423,578,1205,22.4832993
-1,374861881490000.000000000000000,28.017759999999999,-80.889422999999994,5,7076,412,632,801,1310,22.1833000